epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3121.08,1.8222,1.81589,0.00766,0.35441,0.35644,0.19349,0.08371,2.28057,2.68532,0.01294,0.0009605,0.0009605,0.0009605
44,3159.19,1.79448,1.76693,0.0068,0.45901,0.40594,0.30597,0.13074,2.25002,2.44669,0.01322,0.00093575,0.00093575,0.00093575
45,3197.38,1.76884,1.6079,0.00682,0.4884,0.35644,0.31209,0.12993,2.13856,2.5866,0.0122,0.000911,0.000911,0.000911
46,3235.87,1.87015,1.69751,0.00791,0.44975,0.24752,0.22007,0.09999,2.22618,2.81753,0.01322,0.00088625,0.00088625,0.00088625
47,3274.53,1.80894,1.7038,0.00745,0.4465,0.38614,0.29602,0.12172,2.21436,2.5393,0.01302,0.0008615,0.0008615,0.0008615
48,3316.23,1.79519,1.59815,0.00709,0.57592,0.33616,0.28209,0.11563,2.31371,2.64081,0.01373,0.00083675,0.00083675,0.00083675
49,3355.83,1.80161,1.61856,0.00731,0.38967,0.37624,0.28954,0.11002,2.29923,2.7295,0.01367,0.000812,0.000812,0.000812
50,3395.53,1.74351,1.53796,0.00637,0.51309,0.29703,0.25957,0.11317,2.43782,2.71606,0.01396,0.00078725,0.00078725,0.00078725
51,3435.34,1.81499,1.49951,0.00771,0.29647,0.34653,0.19432,0.08415,2.33651,2.68244,0.01371,0.0007625,0.0007625,0.0007625
52,3474.73,1.72032,1.52915,0.00703,0.62427,0.34653,0.3032,0.13814,2.20634,2.81173,0.01263,0.00073775,0.00073775,0.00073775
53,3514.31,1.75391,1.5518,0.00698,0.49164,0.30642,0.28915,0.13674,2.24448,2.70495,0.01316,0.000713,0.000713,0.000713
54,3555.09,1.64121,1.49061,0.0073,0.48699,0.30693,0.30561,0.13736,2.30959,2.84054,0.01283,0.00068825,0.00068825,0.00068825
55,3595.84,1.62656,1.49905,0.00662,0.43043,0.35918,0.26131,0.11433,2.24511,2.74022,0.01266,0.0006635,0.0006635,0.0006635
56,3635.77,1.68725,1.36697,0.00632,0.40039,0.35644,0.26666,0.12543,2.28045,2.66252,0.01297,0.00063875,0.00063875,0.00063875
57,3674.84,1.66591,1.38215,0.00639,0.4411,0.28713,0.25564,0.12944,2.33745,2.68633,0.01346,0.000614,0.000614,0.000614
58,3713.76,1.68411,1.39397,0.00676,0.50711,0.33663,0.27921,0.14105,2.20423,2.61041,0.0125,0.00058925,0.00058925,0.00058925
59,3752.9,1.67242,1.3216,0.00679,0.4141,0.3359,0.25647,0.13603,2.12288,2.74014,0.01187,0.0005645,0.0005645,0.0005645
60,3792.02,1.55054,1.22071,0.00641,0.42266,0.34653,0.25854,0.12513,2.17197,2.6628,0.01233,0.00053975,0.00053975,0.00053975
61,3831.76,1.62193,1.25074,0.00704,0.46708,0.31683,0.25521,0.12952,2.22901,2.77172,0.01226,0.000515,0.000515,0.000515
62,3870.88,1.51486,1.15488,0.00542,0.47107,0.37038,0.27133,0.1427,2.2417,2.59845,0.0126,0.00049025,0.00049025,0.00049025
63,3910.49,1.60423,1.24871,0.00599,0.46094,0.34653,0.24592,0.12684,2.18141,2.80103,0.01265,0.0004655,0.0004655,0.0004655
64,3950.36,1.53544,1.22318,0.00643,0.40883,0.39604,0.25675,0.14085,2.261,2.70961,0.01329,0.00044075,0.00044075,0.00044075
65,3989.45,1.52603,1.14878,0.00609,0.4989,0.35644,0.28967,0.15775,2.23497,2.49272,0.01294,0.000416,0.000416,0.000416
66,4028.31,1.58253,1.0686,0.00613,0.56072,0.37624,0.28974,0.15485,2.37148,2.54677,0.01421,0.00039125,0.00039125,0.00039125
67,4067.44,1.45857,1.03862,0.00563,0.49955,0.37556,0.29427,0.15535,2.27475,2.70529,0.01313,0.0003665,0.0003665,0.0003665
68,4106.64,1.5424,1.06003,0.00661,0.61473,0.36634,0.31524,0.15559,2.2006,2.66352,0.01273,0.00034175,0.00034175,0.00034175
69,4146.36,1.45922,1.00904,0.00574,0.51119,0.34653,0.26311,0.13474,2.27012,2.75079,0.013,0.000317,0.000317,0.000317
70,4185.03,1.5275,1.02549,0.00593,0.61434,0.36634,0.30419,0.15255,2.2344,2.71493,0.01285,0.00029225,0.00029225,0.00029225
71,4223.91,1.47347,1.00282,0.0054,0.46571,0.37624,0.25414,0.13139,2.24315,2.68006,0.01295,0.0002675,0.0002675,0.0002675
72,4262.51,1.47581,0.99925,0.00605,0.42794,0.36634,0.25091,0.1313,2.21462,2.79423,0.01235,0.00024275,0.00024275,0.00024275
73,4301.1,1.46607,1.01033,0.00569,0.49284,0.35644,0.26682,0.13571,2.239,2.80844,0.01247,0.000218,0.000218,0.000218
74,4339.68,1.48496,0.9942,0.006,0.45783,0.36634,0.25926,0.13299,2.19093,2.82843,0.01219,0.00019325,0.00019325,0.00019325
75,4378.36,1.46788,0.96596,0.00579,0.45399,0.36634,0.26635,0.13582,2.24924,2.8062,0.01255,0.0001685,0.0001685,0.0001685
76,4418.33,1.45854,0.96804,0.00591,0.52566,0.34653,0.27052,0.14166,2.25033,2.78596,0.0126,0.00014375,0.00014375,0.00014375
77,4457.6,1.42608,0.90825,0.00564,0.45854,0.36634,0.26784,0.13822,2.26653,2.80334,0.01265,0.000119,0.000119,0.000119
78,4496.9,1.43067,0.91931,0.00567,0.4555,0.35644,0.26984,0.13743,2.28558,2.85314,0.01277,9.425e-05,9.425e-05,9.425e-05
79,4535.64,1.40367,0.92776,0.0053,0.43741,0.35644,0.25989,0.1361,2.3008,2.8409,0.01293,6.95e-05,6.95e-05,6.95e-05
80,4575.07,1.39675,0.89064,0.00567,0.47369,0.32083,0.26888,0.14115,2.26191,2.87414,0.01257,4.475e-05,4.475e-05,4.475e-05
