epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2933.11,0.91845,0.4349,0.00572,0.88295,0.47368,0.50473,0.20297,2.45785,2.68605,0.021,0.0009605,0.0009605,0.0009605
44,3023.47,0.88918,0.39392,0.00571,0.80956,0.50464,0.51725,0.20605,2.31564,2.96064,0.01944,0.00093575,0.00093575,0.00093575
45,3114.21,0.88958,0.4414,0.0058,0.75446,0.48517,0.50938,0.19543,2.33592,2.90762,0.01946,0.000911,0.000911,0.000911
46,3205.8,0.85178,0.37571,0.00533,0.8195,0.47368,0.49938,0.19124,2.41459,2.93855,0.02038,0.00088625,0.00088625,0.00088625
47,3296.32,0.84855,0.39088,0.00529,0.77789,0.49845,0.50542,0.19041,2.43899,3.129,0.02052,0.0008615,0.0008615,0.0008615
48,3388.48,0.8224,0.36556,0.00506,0.79228,0.49845,0.52518,0.20985,2.39836,2.85825,0.02046,0.00083675,0.00083675,0.00083675
49,3480.61,0.82219,0.36088,0.00535,0.76722,0.51393,0.53302,0.21929,2.41196,2.65261,0.02072,0.000812,0.000812,0.000812
50,3580.98,0.79819,0.35711,0.00509,0.78715,0.52666,0.54016,0.2155,2.43574,2.7385,0.02123,0.00078725,0.00078725,0.00078725
51,3684.68,0.75772,0.3368,0.00462,0.87303,0.52632,0.56284,0.22783,2.44316,2.65315,0.02108,0.0007625,0.0007625,0.0007625
52,3777.98,0.7694,0.36374,0.00497,0.86266,0.50774,0.52562,0.21189,2.50468,2.92539,0.02171,0.00073775,0.00073775,0.00073775
53,3868.93,0.74728,0.34802,0.00472,0.82839,0.50155,0.52805,0.20793,2.47509,2.71393,0.02154,0.000713,0.000713,0.000713
54,3959.42,0.76144,0.36224,0.00493,0.85177,0.49815,0.51366,0.21634,2.4666,2.6737,0.02131,0.00068825,0.00068825,0.00068825
